keyword	mandatory	table_meta	language_dependent	indexed_by_contvariable	quote_value	default_value	documentation
INFO	FALSE	FALSE	TRUE	FALSE	TRUE	NA	https://www.scb.se/globalassets/vara-tjanster/px-programmen/px-file_format_specification_2013.pdf#%5B%7B%22num%22%3A47%2C%22gen%22%3A0%7D%2C%7B%22name%22%3A%22XYZ%22%7D%2C184%2C154%2C0%5D
NOTEX	FALSE	TRUE	TRUE	FALSE	TRUE	NA	https://www.scb.se/globalassets/vara-tjanster/px-programmen/px-file_format_specification_2013.pdf#%5B%7B%22num%22%3A50%2C%22gen%22%3A0%7D%2C%7B%22name%22%3A%22XYZ%22%7D%2C184%2C271%2C0%5D
NOTE	FALSE	TRUE	TRUE	FALSE	TRUE	NA	https://www.scb.se/globalassets/vara-tjanster/px-programmen/px-file_format_specification_2013.pdf#%5B%7B%22num%22%3A50%2C%22gen%22%3A0%7D%2C%7B%22name%22%3A%22XYZ%22%7D%2C184%2C411%2C0%5D
VALUENOTEX	FALSE	FALSE	TRUE	FALSE	TRUE	NA	https://www.scb.se/globalassets/vara-tjanster/px-programmen/px-file_format_specification_2013.pdf#%5B%7B%22num%22%3A56%2C%22gen%22%3A0%7D%2C%7B%22name%22%3A%22XYZ%22%7D%2C184%2C626%2C0%5D
VALUENOTE	FALSE	FALSE	TRUE	FALSE	TRUE	NA	https://www.scb.se/globalassets/vara-tjanster/px-programmen/px-file_format_specification_2013.pdf#%5B%7B%22num%22%3A55%2C%22gen%22%3A0%7D%2C%7B%22name%22%3A%22XYZ%22%7D%2C184%2C133%2C0%5D
CELLNOTEX	FALSE	FALSE	TRUE	FALSE	TRUE	NA	https://www.scb.se/globalassets/vara-tjanster/px-programmen/px-file_format_specification_2013.pdf#%5B%7B%22num%22%3A40%2C%22gen%22%3A0%7D%2C%7B%22name%22%3A%22XYZ%22%7D%2C184%2C277%2C0%5D
CELLNOTE	FALSE	FALSE	TRUE	FALSE	TRUE	NA	https://www.scb.se/globalassets/vara-tjanster/px-programmen/px-file_format_specification_2013.pdf#%5B%7B%22num%22%3A40%2C%22gen%22%3A0%7D%2C%7B%22name%22%3A%22XYZ%22%7D%2C184%2C460%2C0%5D
DATASYMBOL1	FALSE	FALSE	TRUE	FALSE	TRUE	NA	https://www.scb.se/globalassets/vara-tjanster/px-programmen/px-file_format_specification_2013.pdf#%5B%7B%22num%22%3A44%2C%22gen%22%3A0%7D%2C%7B%22name%22%3A%22XYZ%22%7D%2C184%2C422%2C0%5D
DATASYMBOL2	FALSE	FALSE	TRUE	FALSE	TRUE	NA	https://www.scb.se/globalassets/vara-tjanster/px-programmen/px-file_format_specification_2013.pdf#%5B%7B%22num%22%3A44%2C%22gen%22%3A0%7D%2C%7B%22name%22%3A%22XYZ%22%7D%2C184%2C422%2C0%5D
DATASYMBOL3	FALSE	FALSE	TRUE	FALSE	TRUE	NA	https://www.scb.se/globalassets/vara-tjanster/px-programmen/px-file_format_specification_2013.pdf#%5B%7B%22num%22%3A44%2C%22gen%22%3A0%7D%2C%7B%22name%22%3A%22XYZ%22%7D%2C184%2C422%2C0%5D
